|ready|Restraining bolt has started
|mlgood|Communicating with flight controller 
|armed|Motors armed
|auto|Starting mission, please stand back
|estop|Emergency stop
|mlbad|Lost communication with flight controller 
|stopped|Progress stopped
|wrongdir|Wrong direction
|manual|Manual mode
|ended|Mission ended
|hold|Hold mode
|acro|Acro mode
|rtl|Return to land mode
|srtl|return to land mode smart 
|guided|Guided mode
|steering|Steering mode
|loiter|Loiter mode
|engstop|Engine stopped
|engstart|Engine starting
|engrun|Engine running
